,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
73,73,0.014140077516260518,2021-05-03 22:39:52.474828,2021-05-03 22:45:11.821026,0 days 00:05:19.346198,64,10000,0.999,0,-1.8779087299107737,0.005050826112658304,medium,0.005,300,PRUNED
74,74,0.0060661906782857565,2021-05-03 22:45:11.821266,2021-05-03 22:47:00.410053,0 days 00:01:48.588787,128,10000,0.9999,10000,-0.2508859773841146,0.0020875840529819244,medium,0.005,10,PRUNED
75,75,0.04056953722121637,2021-05-03 22:47:00.410309,2021-05-03 22:51:51.297120,0 days 00:04:50.886811,16,100000,0.98,0,-0.9674583720702508,0.003719953621780821,medium,0.02,300,COMPLETE
76,76,0.018208990369470712,2021-05-03 22:51:51.301310,2021-05-03 22:56:41.561105,0 days 00:04:50.259795,16,100000,0.98,0,-1.022964565282219,0.0012574056115629176,medium,0.02,300,PRUNED
77,77,0.012858932588513568,2021-05-03 22:56:41.561348,2021-05-03 23:02:01.913251,0 days 00:05:20.351903,16,100000,0.98,1000,-1.4907962645547141,0.0030784627383161106,medium,0.02,100,PRUNED
78,78,0.008274972110985336,2021-05-03 23:02:01.913683,2021-05-03 23:07:06.602289,0 days 00:05:04.688606,16,100000,0.98,0,0.39442698962703937,0.36220247374849585,small,0.02,300,PRUNED
79,79,0.014780242116225036,2021-05-03 23:07:06.602517,2021-05-03 23:09:25.549553,0 days 00:02:18.947036,16,100000,0.98,10000,-1.1506568259402847,0.0006410489455304011,medium,0.02,10,PRUNED
80,80,0.010929791068811687,2021-05-03 23:09:25.549799,2021-05-03 23:11:56.631212,0 days 00:02:31.081413,1024,100000,0.98,20000,-0.8811307149830505,0.15657566356928376,medium,0.05,300,PRUNED
81,81,0.011500332185803645,2021-05-03 23:11:56.631434,2021-05-03 23:17:31.976935,0 days 00:05:35.345501,64,1000000,0.999,0,-1.4137410661883276,0.0038500606839473447,medium,0.02,300,PRUNED
82,82,0.06568777159627319,2021-05-03 23:17:31.977191,2021-05-03 23:24:35.490653,0 days 00:07:03.513462,128,10000,0.9999,0,-0.6981782568963744,0.0073437275059479255,medium,0.005,300,COMPLETE
83,83,0.1925074764502946,2021-05-03 23:24:35.494652,2021-05-03 23:32:17.557617,0 days 00:07:42.062965,128,10000,0.9999,0,-0.7260682336855917,0.007202464744943781,medium,0.005,300,COMPLETE
84,84,0.010548865847225909,2021-05-03 23:32:17.617687,2021-05-03 23:40:25.786513,0 days 00:08:08.168826,128,10000,0.9999,0,-0.7391351304180761,0.006226251399491501,medium,0.005,300,PRUNED
85,85,0.009132406729046456,2021-05-03 23:40:25.786759,2021-05-03 23:46:34.427797,0 days 00:06:08.641038,128,10000,0.9999,0,-0.9958011715379439,0.0011470440780275326,medium,0.005,300,PRUNED
86,86,0.01229039163339691,2021-05-03 23:46:34.428042,2021-05-03 23:51:53.909288,0 days 00:05:19.481246,128,10000,0.9999,0,-0.5292792367438431,0.003279631452640384,medium,0.05,1,PRUNED
87,87,0.01131636391013043,2021-05-03 23:51:53.909540,2021-05-03 23:57:49.513059,0 days 00:05:55.603519,128,10000,0.9999,0,0.8657407672580982,0.00542657895339995,medium,0.005,300,PRUNED
88,88,0.016787657116919184,2021-05-03 23:57:49.513320,2021-05-03 23:59:36.762780,0 days 00:01:47.249460,128,100000,0.9999,10000,0.23319751006132983,0.013074707689288699,medium,0.02,10,PRUNED
89,89,0.011933441057694444,2021-05-03 23:59:36.763011,2021-05-04 00:05:25.771635,0 days 00:05:49.008624,128,10000,0.9999,0,-0.6831666069935987,0.010009730401566557,medium,0.01,300,PRUNED
90,90,0.18041010429821513,2021-05-04 00:05:25.771870,2021-05-04 00:13:34.267940,0 days 00:08:08.496070,128,10000,0.9999,0,0.6989555363995883,0.002517867829638697,medium,0.05,300,COMPLETE
91,91,0.01010767552381244,2021-05-04 00:13:34.273808,2021-05-04 00:21:42.963834,0 days 00:08:08.690026,128,10000,0.9999,0,0.7261935340692839,0.0015517707266195142,medium,0.05,300,PRUNED
92,92,0.010015299709020516,2021-05-04 00:21:42.964227,2021-05-04 00:28:36.876756,0 days 00:06:53.912529,128,10000,0.9999,0,0.9278309433632684,0.002344398936153147,medium,0.05,300,PRUNED
93,93,0.02873264698567741,2021-05-04 00:28:36.877015,2021-05-04 00:36:01.166900,0 days 00:07:24.289885,128,10000,0.9999,0,0.4383772353024088,0.0009798923563919693,medium,0.05,300,PRUNED
94,94,0.008128698774381849,2021-05-04 00:36:01.167143,2021-05-04 00:44:17.531068,0 days 00:08:16.363925,256,10000,0.9999,0,-0.9303243523500218,0.00714582195520764,medium,0.05,300,PRUNED
95,95,0.015678533601603976,2021-05-04 00:44:17.531320,2021-05-04 00:50:27.266475,0 days 00:06:09.735155,128,10000,0.9,0,0.8418058829398536,0.652046272092588,medium,0.05,300,PRUNED
96,96,0.01939625400669632,2021-05-04 00:50:27.266727,2021-05-04 00:52:36.221675,0 days 00:02:08.954948,128,10000,0.95,20000,-3.9960414366752195,0.003409734050511078,medium,0.005,1,PRUNED
97,97,0.00764581543970322,2021-05-04 00:52:36.221916,2021-05-04 00:54:41.892475,0 days 00:02:05.670559,32,10000,0.9999,10000,0.6028155477049579,0.002642268294185659,big,0.005,10,PRUNED
98,98,0.021089862812592067,2021-05-04 00:54:41.892716,2021-05-04 01:04:33.769282,0 days 00:09:51.876566,512,10000,0.9999,0,0.03135727001861177,0.0008321750772361044,medium,0.001,300,PRUNED
99,99,0.018404715871441643,2021-05-04 01:04:33.769652,2021-05-04 01:11:12.805840,0 days 00:06:39.036188,128,10000,0.9,0,-1.3169178230041305,0.0019068441684185135,medium,0.05,300,PRUNED
